JDMOVE%,DJHIGH,DJLOW,DJTREND,VIXMOVE%,VIXHIGH,VIXLOW,VIXTREND,SUPERTREND,RESULT,LABEL
-2.21597193,-3.105347727,0.043675407,-1,-5.764436634,-6.338600268,1.563635563,-1,1,-4.374947307,-1
-4.374947307,-4.396937389,0.407501491,-1,1.517665628,-1.414871875,6.611131181,1,-1,2.06444758,1
2.06444758,-0.439232046,3.75164398,1,-4.071463296,-5.992814181,0.341123376,-1,-1,-1.593127181,-1
-1.593127181,-1.874980789,0.977684823,-1,-3.423622784,-5.121451566,0.868946819,-1,1,7.009183239,1
7.009183239,-0.752989307,7.009183239,1,-0.02606141,-2.022383208,1.637883277,-1,-1,0.131215011,0
0.131215011,-4.098444037,0.927594544,-1,6.03646317,-0.595674487,6.429219712,1,-1,3.521527014,1
3.521527014,-0.601909471,4.493381709,1,-1.18573392,-2.97360355,1.216951417,-1,-1,1.414736623,1
1.414736623,-1.134148576,2.565022143,1,-1.682145565,-3.240999813,0.316677545,-1,-1,-2.009637327,-1
-2.009637327,-2.047444874,1.488060177,-1,-1.623203832,-4.127964543,0.147757776,-1,1,2.366905042,1
2.366905042,-0.147524779,2.710745669,1,-2.477354008,-3.260222182,0.975754791,-1,-1,-2.275300659,-1
-2.275300659,-2.281513059,1.242005547,-1,1.530676153,-2.172443758,3.106316941,1,-1,0.31827448,0
0.31827448,-1.058894016,1.39936676,1,-0.098214943,-2.959835909,0.89270216,-1,-1,0.088201457,0
